"Ptolemaeus Arabus et Latinus","http://ancientworldonline.blogspot.com/2017/02/ptolemaeus-arabus-et-latinus.html","tag:blogger.com,1999:blog-116259103207720939.post-4555506453901042672"
"News: Introducing Open Access at The Met","http://ancientworldonline.blogspot.com/2017/02/news-introducing-open-access-at-met.html","tag:blogger.com,1999:blog-116259103207720939.post-3129896621000568432"
"HISTORY OF EGYPTOLOGY - A SERIES OF VIDEOS","http://ancientworldonline.blogspot.com/2017/02/history-of-egyptology-series-of-videos.html","tag:blogger.com,1999:blog-116259103207720939.post-6090657231273372484"
"The Leipzig Open Fragmentary Texts Series (LOFTS)","http://ancientworldonline.blogspot.com/2013/12/the-leipzig-open-fragmentary-texts.html","tag:blogger.com,1999:blog-116259103207720939.post-8567293827614337418"
"Open Access Journal: Archivo Español de Arqueología","http://ancientworldonline.blogspot.com/2012/01/open-access-journal-archivo-espanol-de.html","tag:blogger.com,1999:blog-116259103207720939.post-4154576167427405949"
"Open Access Journal: Bulletin de liaison du groupe international d’étude de la céramique égyptienne","http://ancientworldonline.blogspot.com/2014/09/open-access-journal-bulletin-de-liaison.html","tag:blogger.com,1999:blog-116259103207720939.post-1166495182940069644"
"Open Access Journal: Revue de philologie, de littérature et d'histoire anciennes","http://ancientworldonline.blogspot.com/2012/06/first-posted-in-awol-6-november-2009.html","tag:blogger.com,1999:blog-116259103207720939.post-7810245280815642509"
"Open Access Journal: Saldvie: Estudios de prehistoria y arqueología","http://ancientworldonline.blogspot.com/2017/02/open-access-jouenal-saldvie-estudios-de.html","tag:blogger.com,1999:blog-116259103207720939.post-1424427624131203944"
"Open Access Journal: RAMBI- The Index of Articles on Jewish Studies - רשימת מאמרים במדעי היהדות - רמבי","http://ancientworldonline.blogspot.com/2011/09/open-access-journal-rambi.html","tag:blogger.com,1999:blog-116259103207720939.post-6358479354593673047"
"Ancient World Mapping Center","http://ancientworldonline.blogspot.com/2012/10/ancient-world-mapping-center.html","tag:blogger.com,1999:blog-116259103207720939.post-4196215290971428113"
"Blog of the Fédération international des associations d'études classiques - International Federation of associations for classical studies","http://ancientworldonline.blogspot.com/2017/02/blog-of-federation-international-des.html","tag:blogger.com,1999:blog-116259103207720939.post-2790425861996323949"
"News: CDLI data up for download","http://ancientworldonline.blogspot.com/2017/02/news-cdli-data-up-for-download.html","tag:blogger.com,1999:blog-116259103207720939.post-6501560644523851460"
"Open Access Journal: Zeitschrift für Assyriologie und verwandte Gebiete","http://ancientworldonline.blogspot.com/2017/02/open-access-journal-zeitschrift-fur.html","tag:blogger.com,1999:blog-116259103207720939.post-7241948143267045035"
"Lexicon Iconographicum Mythologiae Classicae (LIMC): LIMC-France : les bases de données","http://ancientworldonline.blogspot.com/2012/05/limc-database-online.html","tag:blogger.com,1999:blog-116259103207720939.post-4807700566121615506"
"The Assyrian Dictionary of the Oriental Institute of the University of Chicago (CAD)","http://ancientworldonline.blogspot.com/2017/02/the-assyrian-dictionary-of-oriental.html","tag:blogger.com,1999:blog-116259103207720939.post-5276689298460858805"
"Open Access Journal: Revue archéologique","http://ancientworldonline.blogspot.com/2012/10/open-access-journal-revue-archeologique.html","tag:blogger.com,1999:blog-116259103207720939.post-426701211519130157"
